noteId	participantId	createdAtMillis	timestampMillisOfFirstNonNMRStatus	firstNonNMRStatus	timestampMillisOfCurrentStatus	currentStatus	timestampMillisOfLatestNonNMRStatus	mostRecentNonNMRStatus
1578146546843017216	06C7B658C5B6735445616F768A6A8528	1665094431969	1665114457428	CURRENTLY_RATED_HELPFUL	1665114457428	CURRENTLY_RATED_HELPFUL	1665114457428	CURRENTLY_RATED_HELPFUL
1578172775746912260	631BAEDC0D4A6DC94342F7970CB677C6	1665100685428	1665684802991	CURRENTLY_RATED_HELPFUL	1665684802991	NEEDS_MORE_RATINGS	1665684802991	CURRENTLY_RATED_HELPFUL
1578170837592580096	631BAEDC0D4A6DC94342F7970CB677C6	1665100223338	-1		-1		-1	
1578169590789689344	EBC8CCD43363C7C1F341CB3C0B6FD1E7	1665099926077	-1		-1	NEEDS_MORE_RATINGS	-1	
1578161936834887680	34D3F08F0FDCF7EE81D3AC27454B62C4	1665098101232	1665143108847	CURRENTLY_RATED_HELPFUL	1665143108847	CURRENTLY_RATED_HELPFUL	1665143108847	CURRENTLY_RATED_HELPFUL
1578158664632107008	B52C21E67E4F2F15981419A7CC55C269	1665097321076	1665189746853	CURRENTLY_RATED_HELPFUL	1665189746853	NEEDS_MORE_RATINGS	1665189746853	CURRENTLY_RATED_HELPFUL
1578188255035461632	881710791BE8513A4F3D2B2AF0556DF5	1665104375978	-1		-1	NEEDS_MORE_RATINGS	-1	
1578184445756166144	5E49650B4D0EEEE4FB40FA25C64EA3C7	1665103467773	-1		-1	NEEDS_MORE_RATINGS	-1	
1578180368464637952	8287473C23000581E5B9AA8BA49800DB	1665102495672	-1		-1	NEEDS_MORE_RATINGS	-1	
1578180003585400832	DB835EE09E208271F1AE42AA00D8490D	1665102408678	-1		-1		-1	
1578178201406541824	B52C21E67E4F2F15981419A7CC55C269	1665101979005	-1		-1	NEEDS_MORE_RATINGS	-1	
1578176324274978818	87F9A3AD36213601F705EC926F742E9B	1665101531463	1665117824920	CURRENTLY_RATED_HELPFUL	1665117824920	CURRENTLY_RATED_HELPFUL	1665117824920	CURRENTLY_RATED_HELPFUL
1578175896464269312	49BD07AF1CE8953053FDBFC2A82B9365	1665101429468	-1		-1	NEEDS_MORE_RATINGS	-1	
1578174063956004864	2145E99076F38CD278754B1A0F6DA12E	1665100992560	-1		-1	NEEDS_MORE_RATINGS	-1	
1578201619556335616	857AA7C33A25FD7B2F985C4EA2F83F2E	1665107562328	1665117824920	CURRENTLY_RATED_HELPFUL	1665117824920	CURRENTLY_RATED_HELPFUL	1665117824920	CURRENTLY_RATED_HELPFUL
1578196281222205443	96E8C2705AF950E4C4C7570121F5F054	1665106289569	1665124954373	CURRENTLY_RATED_HELPFUL	1665124954373	CURRENTLY_RATED_HELPFUL	1665124954373	CURRENTLY_RATED_HELPFUL
1578191239933227009	B7F526E45561AA2DC9C142C77F519C8E	1665105087632	-1		-1	NEEDS_MORE_RATINGS	-1	
1578188389148491776	96E8C2705AF950E4C4C7570121F5F054	1665104407952	1665128527793	CURRENTLY_RATED_NOT_HELPFUL	1665128527793	NEEDS_MORE_RATINGS	1665128527793	CURRENTLY_RATED_NOT_HELPFUL
1578214046679142400	50AE9CCA93651E130E6B2FF9F1F550C9	1665110525182	-1		-1	NEEDS_MORE_RATINGS	-1	
1578208203128836096	CE1557DD48A28EA63787C96F17AB365A	1665109131973	-1		-1		-1	
1578230458948763650	B88CE8CA2E61A5BC49332EE2FBF0723C	1665114438172	-1		-1	NEEDS_MORE_RATINGS	-1	
1578230292468441093	DB835EE09E208271F1AE42AA00D8490D	1665114398480	-1		-1		-1	
1578248045564600321	C415F8FF266771DEC3FB4C9B1D9B4871	1665118631150	1665153729350	CURRENTLY_RATED_NOT_HELPFUL	1665153729350	CURRENTLY_RATED_NOT_HELPFUL	1665153729350	CURRENTLY_RATED_NOT_HELPFUL
1578241544389378048	CD1F35016A8816108987739EEC9C84B9	1665117081148	-1		-1		-1	
1578258705728110593	DD164EEEBDFBD294D734521CB522A930	1665121172733	-1		-1	NEEDS_MORE_RATINGS	-1	
1578315251950370816	9A16FA4B979CC2BA8EFB0B783AB5AF4D	1665134654402	-1		-1		-1	
1578315218450411521	1D700FA95DD37D8237155472336A4CCF	1665134646415	1665182446269	CURRENTLY_RATED_HELPFUL	1665182446269	NEEDS_MORE_RATINGS	1665182446269	CURRENTLY_RATED_HELPFUL
1578329075420200966	238938F8A35959DAFA9518817DEB65AA	1665137950169	-1		-1	NEEDS_MORE_RATINGS	-1	
1578369154809319425	0AB689C453F1E569091558B03440721F	1665147505846	-1		-1	NEEDS_MORE_RATINGS	-1	
1578365981755416577	6C7574F47786D04A74A9E762D081AF32	1665146749328	-1		-1		-1	
1578381578765537283	631BAEDC0D4A6DC94342F7970CB677C6	1665150467943	1665157292271	CURRENTLY_RATED_NOT_HELPFUL	1665157292271	CURRENTLY_RATED_NOT_HELPFUL	1665157292271	CURRENTLY_RATED_NOT_HELPFUL
1578374555101499392	5B5B064A289F60BE42D4461AB3A55FF0	1665148793373	-1		-1		-1	
1578390573819600896	96E8C2705AF950E4C4C7570121F5F054	1665152612534	-1		-1		-1	
1578407107468136451	66C35420FC9954A650D7F2D454EBFAF4	1665156554464	-1		-1	NEEDS_MORE_RATINGS	-1	
